Date,Nifty50,SP500,Gold,USBond,USDINR,US10Y,VIX
2009-06-01,4529.89990234375,942.8699951171875,95.7300033569336,55.872337341308594,46.9010009765625,3.7149999141693115,30.040000915527344
2009-06-02,4525.25,944.739990234375,96.36000061035156,56.17289352416992,46.930999755859375,3.6440000534057617,29.6299991607666
2009-06-03,4530.7001953125,931.760009765625,94.41000366210938,56.70041275024414,46.89099884033203,3.5510001182556152,31.020000457763672
2009-06-04,4572.64990234375,942.4600219726562,96.2300033569336,55.528846740722656,47.130001068115234,3.7160000801086426,30.18000030517578
2009-06-05,4586.89990234375,940.0900268554688,93.70999908447266,55.10563659667969,46.96699905395508,3.861999988555908,29.6200008392334
2009-06-08,4429.89990234375,939.1400146484375,93.55999755859375,54.96452331542969,47.31700134277344,3.8889999389648438,29.770000457763672
2009-06-09,4550.9501953125,942.4299926757812,93.83000183105469,54.958431243896484,47.25299835205078,3.8580000400543213,28.270000457763672
2009-06-10,4655.25,939.1500244140625,93.86000061035156,54.09355926513672,47.150001525878906,3.936000108718872,28.459999084472656
2009-06-11,4637.7001953125,944.8900146484375,93.69999694824219,54.69465255737305,47.3650016784668,3.861999988555908,28.110000610351562
2009-06-12,4583.39990234375,946.2100219726562,92.16999816894531,55.18534469604492,47.308998107910156,3.7880001068115234,28.149999618530273
2009-06-15,4484.0,923.719970703125,91.0999984741211,55.68219757080078,47.8120002746582,3.7130000591278076,30.809999465942383
2009-06-16,4517.7998046875,911.969970703125,91.93000030517578,56.65130615234375,47.69499969482422,3.6740000247955322,32.68000030517578
2009-06-17,4356.14990234375,910.7100219726562,92.3499984741211,56.33234786987305,47.994998931884766,3.6470000743865967,31.540000915527344
2009-06-18,4251.39990234375,918.3699951171875,91.61000061035156,55.47980499267578,47.95800018310547,3.8340001106262207,30.030000686645508
2009-06-19,4313.60009765625,921.22998046875,91.9000015258789,56.24037551879883,48.108001708984375,3.7890000343322754,27.989999771118164
2009-06-22,4235.25,893.0399780273438,90.54000091552734,56.7862663269043,48.268001556396484,3.693000078201294,31.170000076293945
2009-06-23,4247.0,895.0999755859375,90.91999816894531,57.45485305786133,48.59199905395508,3.640000104904175,30.579999923706055
2009-06-24,4292.9501953125,900.9400024414062,91.44999694824219,56.8782958984375,48.35100173950195,3.684999942779541,29.049999237060547
2009-06-25,4241.85009765625,920.260009765625,92.30999755859375,57.920989990234375,48.51100158691406,3.5460000038146973,26.360000610351562
2009-06-26,4375.5,918.9000244140625,92.29000091552734,58.01913070678711,48.0359992980957,3.50600004196167,25.93000030517578
2009-06-29,4390.9501953125,927.22998046875,92.04000091552734,58.105003356933594,48.02899932861328,3.492000102996826,25.350000381469727
