Date,CPI,PMI,Repo_Rate,M2,India_VIX
2015-07-31,4.365109,99.650580,8.250000,109432180000000.000000,14.570000
2015-08-31,4.347824,99.732350,8.250000,110138720000000.000000,24.600000
2015-09-30,5.138377,99.823620,8.250000,110246220000000.000000,19.629999
2015-10-31,6.324155,99.923380,7.750000,111600390000000.000000,17.879999
2015-11-30,6.719380,100.029800,7.750000,112528140000000.000000,16.430000
2015-12-31,6.324155,100.140300,7.750000,113383650000000.000000,13.870000
2016-01-31,5.905546,100.250800,7.750000,114432520000000.000000,17.240000
2016-02-29,5.533602,100.357400,7.750000,115807650000000.000000,20.160000
2016-03-31,5.511775,100.456000,7.750000,116335400000000.000000,16.580000
2016-04-30,5.859348,100.544200,7.150000,119997740000000.000000,16.540001
2016-05-31,6.589098,100.619900,7.000000,119013750000000.000000,16.049999
2016-06-30,6.130261,100.681900,7.000000,119156610000000.000000,16.290001
2016-07-31,6.463848,100.729000,7.000000,120585250000000.000000,14.920000
2016-08-31,5.302996,100.760700,7.000000,121337780000000.000000,13.240000
2016-09-30,4.135296,100.777600,7.000000,122289140000000.000000,17.180000
2016-10-31,3.345646,100.781800,6.750000,123931540000000.000000,14.650000
2016-11-30,2.592575,100.776800,6.750000,123767670000000.000000,16.850000
2016-12-31,2.230398,100.766900,6.750000,120449460000000.000000,15.470000
2017-01-31,1.858682,100.757100,6.750000,121561010000000.000000,16.830000
2017-02-28,2.621706,100.752300,6.750000,123082790000000.000000,13.790000
2017-03-31,2.611924,100.756400,6.750000,128443860000000.000000,12.420000
2017-04-30,2.214036,100.771200,6.500000,126828630000000.000000,10.860000
2017-05-31,1.090916,100.797700,6.500000,128026160000000.000000,11.760000
2017-06-30,1.083039,100.835800,6.500000,127840780000000.000000,11.730000
2017-07-31,1.785756,100.885000,6.500000,128807810000000.000000,11.900000
2017-08-31,2.518064,100.944700,6.250000,127996890000000.000000,11.950000
2017-09-30,2.888135,101.013600,6.250000,129264710000000.000000,12.490000
2017-10-31,3.237430,101.089800,6.250000,132320290000000.000000,12.440000
2017-11-30,3.971174,101.171200,6.250000,132340079999999.984375,13.550000
2017-12-31,4.000057,101.255200,6.250000,132725290000000.000000,12.670000
2018-01-31,5.109552,101.339000,6.250000,134132730000000.000000,15.930000
2018-02-28,4.744522,101.419900,6.250000,135286430000000.000000,13.810000
2018-03-31,4.363664,101.496100,6.250000,136775739999999.984375,15.760000
2018-04-30,3.971174,101.566700,6.250000,139620959999999.984375,12.360000
2018-05-31,3.956891,101.631300,6.250000,140234760000000.000000,13.220000
2018-06-30,3.928532,101.690100,6.450000,140522019999999.984375,12.940000
2018-07-31,5.614035,101.743200,6.500000,141370260000000.000000,12.480000
2018-08-31,5.614035,101.790600,6.750000,142070490000000.000000,12.600000
2018-09-30,5.614035,101.831700,6.750000,142222170000000.000000,17.000000
2018-10-31,5.226513,101.866100,6.750000,144412920000000.000000,19.799999
2018-11-30,4.861077,101.892400,6.750000,145187750000000.000000,19.160000
2018-12-31,5.244786,101.909700,6.750000,145496950000000.000000,16.000000
2019-01-31,6.597137,101.916600,6.750000,147587900000000.000000,17.120001
2019-02-28,6.968623,101.911700,6.562500,149398270000000.000000,18.280001
2019-03-31,7.665521,101.893000,6.500000,154308280000000.000000,16.650000
