Date,EqualWeight,ClassicalMarkowitz,MLMarkowitz,MLRegimeAware,regime
2019-08-31,0.03174994796699038,0.03133336194672012,-0.01869558910001344,-0.01869558910001344,Growth
2019-09-30,0.003702753588159302,-0.0038719777424010213,-0.00596614049433859,-0.00596614049433859,Growth
2019-10-31,0.015723228338421102,0.022004234215266084,0.01787232426585168,0.01787232426585168,Growth
2019-11-30,0.0012548454747948745,-0.004178079175498816,0.012241464021242989,0.012241464021242989,Growth
2019-12-31,0.014420455928104148,0.02305048358777193,0.021077054744318882,0.021077054744318882,Growth
2020-01-31,-0.029898482709982244,0.000755437825986376,-0.059344254502153006,-0.059344254502153006,Growth
2020-02-29,-0.03204854668358348,-0.038805938813643026,-0.03675554348597964,-0.03675554348597964,Growth
2020-03-31,-0.08947577666707057,-0.09114420856179443,-0.06883286079126848,-0.06883286079126848,Growth
2020-04-30,0.08779087730461693,0.06863584148850221,0.0548545922086997,0.0548545922086997,Stagflation
2020-05-31,0.009276931399681082,0.01998507232185014,0.00503588017625092,0.00503588017625092,Stagflation
2020-06-30,0.031306891136865966,0.020245491530290666,0.032118950460861696,0.032118950460861696,Growth
2020-07-31,0.06414927928277303,0.06697301957423914,0.0688903659353865,0.0688903659353865,Growth
2020-08-31,0.027917779475803844,0.013178267383561315,0.04908233270345403,0.04908233270345403,Growth
2020-09-30,-0.024885041759597853,-0.02754481238363307,-0.029418582123491313,-0.029418582123491313,Stagflation
2020-10-31,-0.004350626940296615,-0.010489487344771481,-0.00023048640271407093,-0.00023048640271407093,Stagflation
2020-11-30,0.04350546779031214,0.003059598349460637,0.053072907691556565,0.053072907691556565,Stagflation
2020-12-31,0.04911373561810059,0.04331461592505552,0.061303137019704065,0.061303137019704065,Stagflation
2021-01-31,-0.019128787836226346,-0.021124504267505156,-0.025608549590407082,-0.025608549590407082,Stagflation
2021-02-28,0.0006022087664538656,-0.026104830672477198,0.03556465301726646,0.03556465301726646,Inflationary
2021-03-31,0.0035535360930294413,-0.0016241098870476154,0.011635712591838737,0.011635712591838737,Stagflation
2021-04-30,0.0212844549097832,0.030689565347769805,0.020053501289008666,0.020053501289008666,Inflationary
2021-05-31,0.044189179724894334,0.041504001840683376,0.04712741928047852,0.04712741928047852,Inflationary
2021-06-30,-0.013964964590416212,-0.024828572969989575,-0.002650899726394872,-0.002650899726394872,Inflationary
2021-07-31,0.017767923468867963,0.022170358545828373,0.013902232401275694,0.013902232401275694,Inflationary
2021-08-31,0.030896585866776738,0.011209762461751191,0.056030736387730436,0.056030736387730436,Inflationary
2021-09-30,-0.020003070790805932,-0.02996669350501959,-0.00796888690539983,-0.00796888690539983,Inflationary
2021-10-31,0.01904389054942285,0.019489009664976555,0.029050852553889363,0.029050852553889363,Inflationary
2021-11-30,-0.011642676935560675,-0.005446577284937344,-0.02256506553832836,-0.02256506553832836,Inflationary
2021-12-31,0.025440532327514448,0.024863253444317685,0.01618821310022049,0.01618821310022049,Inflationary
2022-01-31,-0.024853694939180215,-0.026746963357789526,-0.03192418052650885,-0.03192418052650885,Inflationary
2022-02-28,-0.001260853404917106,0.014490608196779501,0.011689112173719419,0.011689112173719419,Growth
2022-03-31,0.009353759533996725,0.0050606990946152515,0.009030361095455259,0.009030361095455259,Growth
2022-04-30,-0.045353418355549374,-0.04159486137755398,-0.03301400401764844,-0.03301400401764844,Growth
2022-05-31,-0.01708086115079574,-0.018922512819403183,-0.012954251711228867,-0.012954251711228867,Growth
2022-06-30,-0.04333063604024831,-0.028712227613392875,-0.01838383138470955,-0.01838383138470955,Growth
2022-07-31,0.043243774682942465,0.017316988689295976,0.01014215713253414,0.01014215713253414,Growth
2022-08-31,-0.02012818558383425,-0.02655699248641653,-0.031214345650815968,-0.031214345650815968,Growth
2022-09-30,-0.05623487174219813,-0.042443659062668906,-0.045788137107172534,-0.045788137107172534,Growth
2022-10-31,0.022863062701443587,-0.0038272095736220013,0.00809060832094496,0.00809060832094496,Growth
2022-11-30,0.055994950769443885,0.06074643383480917,0.058506116236582646,0.058506116236582646,Growth
2022-12-31,-0.023347732011575972,-0.001920416881042936,0.0011006676259272454,0.0011006676259272454,Growth
2023-01-31,0.03642252353438569,0.0408289425521378,0.04464611162736591,0.04464611162736591,Growth
2023-02-28,-0.036371393962156134,-0.04125264561123535,-0.03625566145584242,-0.03625566145584242,Growth
2023-03-31,0.040346871870929946,0.04978355687905582,0.028568206746416712,0.028568206746416712,Growth
2023-04-30,0.019076978751665696,0.018533628873101622,0.010523917298804492,0.010523917298804492,Growth
2023-05-31,-0.002684394936280282,-0.0026869165579627885,-7.163343701877066e-05,-7.163343701877066e-05,Growth
2023-06-30,0.01823942426067754,0.008308176700229463,0.011960995390039869,0.011960995390039869,Growth
2023-07-31,0.018679812024146952,0.021641156518662993,0.011656641398897324,0.011656641398897324,Growth
2023-08-31,-0.01709748252556001,-0.020765055302791754,-0.020765316510914,-0.020765316510914,Growth
2023-09-30,-0.02844576606234997,-0.01915934402456156,-0.01960479022931553,-0.01960479022931553,Growth
2023-10-31,0.000702602420044246,0.017767436584654996,0.01292803419090337,0.01292803419090337,Growth
2023-11-30,0.053707107728995396,0.04278320154544841,0.03908480087095505,0.03908480087095505,Growth
2023-12-31,0.046910866060398126,0.0516586703292829,0.03563982081006005,0.03563982081006005,Growth
2024-01-31,-0.0018961461897956944,-0.010061814127535972,-0.01006181766100088,-0.01006181766100088,Growth
2024-02-29,0.012426414677444042,0.01000985965050718,0.018548073675982327,0.018548073675982327,Growth
2024-03-31,0.033791723752522373,0.045484819551155256,0.023219106890209232,0.023219106890209232,Growth
2024-04-30,-0.007903355163964981,0.014939059330071043,0.014939086375149254,0.014939086375149254,Growth
2024-05-31,0.020122357786885287,0.009811065497960198,0.018665251845971686,0.018665251845971686,Growth
2024-06-30,0.02737908590456825,0.030546503999597685,0.030546474001645556,0.030546474001645556,Growth
2024-07-31,0.032390631891660304,0.04218571843825089,0.03247543918668403,0.03247543918668403,Growth
2024-08-31,0.016686335905410354,0.015518407914314677,0.01708938360554218,0.01708938360554218,Growth
2024-09-30,0.02746911895948484,0.0358356980252407,0.03437073552174878,0.03437073552174878,Growth
2024-10-31,-0.016784038401752882,-0.012703042138086783,-0.022722668553093614,-0.022722668553093614,Growth
2024-11-30,0.007171889595512321,-0.014094870684698573,0.011858350145369912,0.011858350145369912,Growth
2024-12-31,-0.023104690347316686,-0.02495601608910681,-0.021017204195443333,-0.021017204195443333,Growth
2025-01-31,0.020301197103502755,0.025768434047896444,0.04291161007659107,0.04291161007659107,Growth
2025-02-28,-0.008554251945156632,-0.020899692499746464,-0.020899097920758572,-0.020899097920758572,Growth
